Country,Brannd,Model,Storage Variant,Color 1,Color 2,Color 3,Color 4,Color 5,Color 6,Color 7,Color 8,Color 9,Color 10,Color 11,Color 12,Color 13,Color 14
Belgium,Samsung,S23 Ultra,512 GB,Cream,Green,Lavender,Phatom Black,,,,,,,,,,
Belgium,Samsung,S23+,256 GB,Cream,Green,Lavender,Phatom Black,,,,,,,,,,
Belgium,Samsung,S23+,512 GB,Cream,Green,Lavender,Phatom Black,,,,,,,,,,
Belgium,Samsung,S24,128 GB,Amber Yellow,Cobalt purple,Marble Grey,Onyx Black,,,,,,,,,,
Belgium,Samsung,S24,256 GB,Amber Yellow,Cobalt purple,Marble Grey,Onyx Black,,,,,,,,,,
Belgium,Samsung,S24 Ultra,1 TB,Titanium Black,Titanium Grey,Titanium Violet,Titanium Yellow,,,,,,,,,,
Belgium,Samsung,S24 Ultra,256 GB,Titanium Black,Titanium Grey,Titanium Violet,Titanium Yellow,,,,,,,,,,
Belgium,Samsung,S24 Ultra,512 GB,Titanium Black,Titanium Grey,Titanium Violet,Titanium Yellow,,,,,,,,,,
Belgium,Samsung,S24+,128 GB,Amber Yellow,Cobalt purple,Marble Grey,Onyx Black,,,,,,,,,,
Belgium,Samsung,S24+,256 GB,Amber Yellow,Cobalt purple,Marble Grey,Onyx Black,,,,,,,,,,
Belgium,Samsung,Z Flip3,128 GB,Cream,Green,Grey,Lavender,Phantom Black,Pink,White,,,,,,,
Belgium,Samsung,Z Flip3,256 GB,Cream,Green,Grey,Lavender,Phantom Black,Pink,White,,,,,,,
Belgium,Samsung,Z Flip5,256 GB,Blue,Cream,Graphite,Green,Grey,Lavender,Mint,Yellow,,,,,,
Belgium,Samsung,Z Flip5,512 GB,Blue,Cream,Graphite,Green,Grey,Lavender,Mint,Yellow,,,,,,
Belgium,Samsung,Z Fold3,256 GB,Phantom Black,Phantom Green,Phantom Silver,,,,,,,,,,,
Belgium,Samsung,Z Fold3,512 GB,Phantom Black,Phantom Green,Phantom Silver,,,,,,,,,,,
Belgium,Samsung,Z Fold5,1 TB,Blue,Cream,Grey,Icy Blue,Phantom Black,,,,,,,,,
Belgium,Samsung,Z Fold5,256 GB,Blue,Cream,Grey,Icy Blue,Phantom Black,,,,,,,,,
Belgium,Samsung,Z Fold5,512 GB,Blue,Cream,Grey,Icy Blue,Phantom Black,,,,,,,,,
CZech Republic,Samsung,A32,128 GB,Black,Blue,Purple,White,,,,,,,,,,
CZech Republic,Samsung,A33,128 GB,Awesome Black,,,,,,,,,,,,,
CZech Republic,Samsung,A34,128 GB,Awesome Lime,Black,Light Green,Light Purple,Silver,,,,,,,,,
CZech Republic,Samsung,A34,256 GB,Black,Light Green,Light Purple,Silver,,,,,,,,,,
CZech Republic,Samsung,A53,128 GB,Awesome Black,Awesome Blue,Awesome Peach,Awesome White,,,,,,,,,,
