Country,Brand,Model,Storage Variant,Color1,Color2,Color3,Color4,Color5,Color6,Color7,Color8,Color9,Color10,Color11
UK,Samsung,S21,128 GB,Phantom Grey,Phantom Pink,Phantom Violet,Phantom White,,,,,,,
UK,Samsung,S21,256 GB,Phantom Grey,Phantom Pink,Phantom Violet,Phantom White,,,,,,,
UK,Samsung,S21 FE,128 GB,Graphite,Lavender,Olive,White,,,,,,,
UK,Samsung,S21 FE,256 GB,Graphite,Lavender,Olive,White,,,,,,,
UK,Samsung,S21 Ultra,128 GB,Phantom Black,Phantom Brown,Phantom Navy,Phantom Silver,Phantom Titanium,,,,,,
UK,Samsung,S21 Ultra,256 GB,Phantom Black,Phantom Brown,Phantom Navy,Phantom Silver,Phantom Titanium,,,,,,
UK,Samsung,S21 Ultra,512 GB,Phantom Black,Phantom Brown,Phantom Navy,Phantom Silver,Phantom Titanium,,,,,,
UK,Samsung,S21+,128 GB,Phantom Black,Phantom Gold,Phantom Red,Phantom Silver,Phantom Violet,,,,,,
UK,Samsung,S21+,256 GB,Phantom Black,Phantom Gold,Phantom Red,Phantom Silver,Phantom Violet,,,,,,
UK,Samsung,S22,128 GB,Bora Purple,Graphite,Green,Phantom Black,Phantom White,Pink Gold,Sky Blue,Violet,,,
UK,Samsung,S22,256 GB,Bora Purple,Graphite,Green,Phantom Black,Phantom White,Pink Gold,Sky Blue,Violet,,,
UK,Samsung,S22 Ultra,1 TB,Burgundy,Green,Phantom Black,White,,,,,,,
UK,Samsung,S22 Ultra,128 GB,Burgundy,Graphite,Green,Phantom Black,Phantom White,Red,Sky Blue,White,,,
UK,Samsung,S22 Ultra,256 GB,Burgundy,Graphite,Green,Phantom Black,Phantom White,Red,Sky Blue,White,,,
UK,Samsung,S22 Ultra,512 GB,Burgundy,Graphite,Green,Phantom Black,Phantom White,Red,Sky Blue,White,,,
UK,Samsung,S22+,128 GB,Black,Cream,Gold Pink,Graphite,Green,Phantom Black,Phantom White,Pink Gold,Sky Blue,Violet,White
UK,Samsung,S22+,256 GB,Black,Cream,Gold Pink,Graphite,Green,Phantom Black,Phantom White,Pink Gold,Sky Blue,Violet,White
UK,Samsung,S23,128 GB,Cream,Green,Lavender,Phantom Black,,,,,,,
UK,Samsung,S23,256 GB,Cream,Green,Lavender,Phantom Black,,,,,,,
UK,Samsung,S23 Ultra,1 TB,Cream,Green,Lavender,Phantom Black,,,,,,,
UK,Samsung,S23 Ultra,256 GB,Cream,Green,Lavender,Phantom Black,,,,,,,
UK,Samsung,S23 Ultra,512 GB,Cream,Green,Lavender,Phantom Black,,,,,,,
UK,Samsung,S23+,256 GB,Cream,Green,Lavender,Phantom Black,,,,,,,
UK,Samsung,S23+,512 GB,Cream,Green,Lavender,Phantom Black,,,,,,,
UK,Samsung,Z Flip3,128 GB,Cream,Green,Lavender,Phantom Black,,,,,,,
UK,Samsung,Z Flip3,256 GB,Cream,Green,Lavender,Phantom Black,,,,,,,
UK,Samsung,Z Flip4,128 GB,Blue,Bora Purple,Graphite,Pink Gold,,,,,,,
UK,Samsung,Z Flip4,256 GB,Blue,Bora Purple,Graphite,Pink Gold,,,,,,,
UK,Samsung,Z Flip4,512 GB,Blue,Bora Purple,Graphite,Pink Gold,,,,,,,
UK,Samsung,Z Flip5,256 GB,Cream,Graphite,Lavender,Mint,,,,,,,
UK,Samsung,Z Flip5,512 GB,Cream,Graphite,Lavender,Mint,,,,,,,
UK,Samsung,Z Fold3,256 GB,Lavender,Phantom Black,Phantom Green,Phantom Silver,,,,,,,
UK,Samsung,Z Fold3,512 GB,Phantom Black,Phantom Green,Phantom Silver,,,,,,,,
UK,Samsung,Z Fold4,1 TB,Beige,Burgundy,Grey Green,Phantom Black,,,,,,,
UK,Samsung,Z Fold4,128 GB,Beige,Burgundy,Grey Green,Phantom Black,,,,,,,
UK,Samsung,Z Fold4,256 GB,Beige,Burgundy,Grey Green,Phantom Black,,,,,,,
UK,Samsung,Z Fold4,512 GB,Beige,Burgundy,Grey Green,Phantom Black,,,,,,,
UK,Samsung,Z Fold5,1 TB,Cream,Icy Blue,Phantom Black,,,,,,,,
UK,Samsung,Z Fold5,256 GB,Cream,Icy Blue,Phantom Black,,,,,,,,
UK,Samsung,Z Fold5,512 GB,Cream,Icy Blue,Phantom Black,,,,,,,,
